video ID,uploader,age,category,length,views,rate,ratings,comments,Related IDs
5VdggiztyF8,porriprimo,721.0,Comedy,16.0,308.0,1.0,3.0,1.0,"PzxBz-WcERM,4qem5WrFZOc,VGfZ2TDSYF0,1FvVs21jjoU,GMw7qPzVTgY,xnQziJgWaoc,JzUTZ-i-BWw,M8BYBePp-4U,0gA2OJOjthM,OdiwzztQtTE,uYosEAdL-3Y,jiSzU5blsE0,oZO1su15AYQ,MAqnpKrzOb4,LR88YayOQkE,9uB8Pdi4bL0,DVw52M1lhiM,bW3BknwfHmI,G-s-Bc0DpWo,ylbnIBikGlk"
Jh4q7qcxsBg,RaphAvriLavigne,721.0,Music,215.0,293953.0,4.29,483.0,416.0,"IpO1EUEMF48,VJ_4L6jCi-E,gWjAyX87Sb0,feaFoIzV9s4,kRp3sSHa-KI,ZxAAspHOfF4,LeZIIgbPzzI,RVjJN_XhI8I,rdLO2F57swM,sOR6OXrLuLw,66MFvu4-VaA,SNKjirXtC1A,sp2jOsilLj8,jyxxUuL34r0,ONLr-zweXH0,QaiwmJtYfnM,9R6h1X8k4X4,oJKSehiFo98,aStJVG_LSzE,HtwIuAcIeD8"
r76T2EG90MA,YagoCooper,721.0,Music,217.0,193006.0,4.28,388.0,506.0,"Jh4q7qcxsBg,O0Ar13t94hk,pV-s0UKF8eM,z-AdCnEc5ww,t19p5Fgte7Q,q8u2TSrw_Pc,wkT-9U4p0c0,Z6lLMpDJGvY,8j8-Uxhq1NQ,cQ25-glGRzI,tSDMj_74OyU,UePfMX-3PMU,ErNTtlFlRaQ,_yUo9crgm3U,VkFz3CAx6YQ,fym3LH8A3JY,kjHapdi-NPI,TpjUYjKCB7Y,98HVSGjsDYg,Y_H6LouXsoc"
O0Ar13t94hk,lostavril41,721.0,Music,215.0,118281.0,4.71,254.0,158.0,"Jh4q7qcxsBg,r76T2EG90MA,pV-s0UKF8eM,z-AdCnEc5ww,t19p5Fgte7Q,q8u2TSrw_Pc,wkT-9U4p0c0,Z6lLMpDJGvY,8j8-Uxhq1NQ,cQ25-glGRzI,tSDMj_74OyU,UePfMX-3PMU,ErNTtlFlRaQ,_yUo9crgm3U,VkFz3CAx6YQ,fym3LH8A3JY,kjHapdi-NPI,TpjUYjKCB7Y,98HVSGjsDYg,Y_H6LouXsoc"
q8u2TSrw_Pc,heatonnet,721.0,Music,218.0,79258.0,3.86,168.0,198.0,"r76T2EG90MA,Jh4q7qcxsBg,pV-s0UKF8eM,O0Ar13t94hk,98HVSGjsDYg,qsh5EZKW9eU,kjHapdi-NPI,9O5WZAPfkSY,VkFz3CAx6YQ,wkT-9U4p0c0,TpjUYjKCB7Y,9lp84GI5hvU,tSDMj_74OyU,cQ25-glGRzI,_yUo9crgm3U,tXUG9agPSVY,ErNTtlFlRaQ,fym3LH8A3JY,Y_H6LouXsoc,UePfMX-3PMU"
y1ba49zAcRQ,quill18,721.0,Gadgets & Games,236.0,2370.0,5.0,3.0,1.0,"gmp5r8w7Fq0,71WreikhehA,W1Q_4iFq0ic,3OTsqnWNfVQ,KtXfFn5u_Vc,KGFrSMBMXzM,k7hsA3Brxio,l3rI1nDMVl8,iiDpg2AP-sY,v1BKZdAWhkM,rkcczdxrY1Q,aK9zrEIFRD8,6Bjh8Fa5PQk,AODNUojQdak,BJ9wiRW2MRA,REuf7u4IEWk,z93qg6p_idQ,zpIenSLEyeI,JzSXnSrKp1w,IiulwKIgMWs"
pykE8LkCbNU,mook300,721.0,Sports,579.0,30511.0,4.91,53.0,33.0,"lAl9we-5bVU,-tr8C2RpmI8,GKc5-vOmlMQ,UanMNw-kDPU,EgOtgln4Azg,EGh_l2c4g9c,hviCvuvk-HM,VTW6Vjgm38g,3AJ4dvv6Lx4,XkMQUe5cKXo,aZqsOu3hndg,4_RFnFEP8vg,Hvcclq6In0k,oVoIO4U2HoI,n742VaBBMyg,OnGqulOmyIo,j0CpnnV-P-M,T-2f94UwXwk,YQbxHt79Nr0,LU_pTRNDXc4"
jIEY6mgADD0,mametaro00,721.0,Film & Animation,490.0,26110.0,4.93,30.0,9.0,"opOkmd1qRTg,-40IYkowUvU,TVy4lgS8o4c,4xYLA8TjNis,HYSg_sna0qA,RGDXoQP_JkY,T_Cd9ZFyE9c,eaA7wlzPSAQ,KLrs8nWwYTo,xw9ZPkPpaGg,I_rP0XuusyQ,50r8k8_5ESg,37C7kc90-zk,01dVA28RRNs,qxezlOp9PiI,jm3uYvjhu2Y,8lK07MXguv4,2d1gAR8eY_4,-Dan2BlX_4M,XWX-zrDI9zk"
ipK7VhkNJ7A,sugarygal77,721.0,Entertainment,95.0,7181.0,4.6,5.0,13.0,"GpUz7qB3bL4,SE_F4kqnazY,8oI1iMPdwCg,00Mko5Tp5M4,3vGlshcQehs,qGQidviA49o,adxGa3IFOnw,qnuyyluomu8,mjxpEXSXspk,WkY4gKaPNBw,itW9Hblxld0,aNoEQDEBJrc,_jKdEYwjwgU,OINJ1AkyKu8,KISGRDXZNIs,Tx-88ONUrZc,KJz0czI5A-0,W0T5FKvwLhw,C5WCXmePSCw,KknMOHZ4-OE"
lAl9we-5bVU,mook300,721.0,Sports,555.0,26085.0,4.95,41.0,23.0,"pykE8LkCbNU,-tr8C2RpmI8,GKc5-vOmlMQ,UanMNw-kDPU,EgOtgln4Azg,EGh_l2c4g9c,hviCvuvk-HM,VTW6Vjgm38g,3AJ4dvv6Lx4,XkMQUe5cKXo,aZqsOu3hndg,4_RFnFEP8vg,Hvcclq6In0k,oVoIO4U2HoI,n742VaBBMyg,OnGqulOmyIo,j0CpnnV-P-M,T-2f94UwXwk,YQbxHt79Nr0,LU_pTRNDXc4"
-tr8C2RpmI8,mook300,721.0,Sports,438.0,26661.0,4.96,48.0,43.0,"pykE8LkCbNU,lAl9we-5bVU,GKc5-vOmlMQ,UanMNw-kDPU,EgOtgln4Azg,EGh_l2c4g9c,hviCvuvk-HM,VTW6Vjgm38g,3AJ4dvv6Lx4,XkMQUe5cKXo,aZqsOu3hndg,4_RFnFEP8vg,Hvcclq6In0k,oVoIO4U2HoI,n742VaBBMyg,OnGqulOmyIo,j0CpnnV-P-M,T-2f94UwXwk,YQbxHt79Nr0,LU_pTRNDXc4"
GKc5-vOmlMQ,mook300,721.0,Sports,416.0,23960.0,4.98,52.0,17.0,"pykE8LkCbNU,lAl9we-5bVU,-tr8C2RpmI8,UanMNw-kDPU,EgOtgln4Azg,EGh_l2c4g9c,hviCvuvk-HM,VTW6Vjgm38g,3AJ4dvv6Lx4,XkMQUe5cKXo,aZqsOu3hndg,4_RFnFEP8vg,Hvcclq6In0k,oVoIO4U2HoI,n742VaBBMyg,OnGqulOmyIo,j0CpnnV-P-M,T-2f94UwXwk,YQbxHt79Nr0,LU_pTRNDXc4"
XkMQUe5cKXo,mook300,721.0,Sports,568.0,35505.0,4.93,71.0,32.0,"pykE8LkCbNU,lAl9we-5bVU,-tr8C2RpmI8,GKc5-vOmlMQ,UanMNw-kDPU,EgOtgln4Azg,EGh_l2c4g9c,hviCvuvk-HM,VTW6Vjgm38g,3AJ4dvv6Lx4,aZqsOu3hndg,4_RFnFEP8vg,Hvcclq6In0k,oVoIO4U2HoI,n742VaBBMyg,OnGqulOmyIo,j0CpnnV-P-M,T-2f94UwXwk,YQbxHt79Nr0,LU_pTRNDXc4"
